flat_type,flat_price,location1,buildupArea_sqft,age_of_property,furnishing,bedrooms,bathrooms,balcony,parking
2,1.68,2,1110,1,2,2,2,0,1
2,4.25,43,885,3,1,2,2,0,1
3,2.3,15,1500,1,2,3,3,0,1
1,1.76,28,650,1,2,1,2,0,1
3,1.8,6,1800,1,3,3,3,1,1
3,3.6,15,1750,1,1,3,3,2,1
3,4.35,28,1775,1,1,3,3,1,1
2,1.34,1,920,3,2,2,2,3,2
4,9.45,38,2200,4,3,4,4,0,1
1,0.34,36,690,1,1,1,2,2,1
2,1.35,40,950,4,1,2,1,0,1
1,0.82,1,750,3,2,1,2,1,1
1,1.25,29,600,1,2,1,2,0,1
2,3.75,17,740,3,2,2,1,0,1
4,10.5,37,2350,1,1,4,2,0,1
1,1.3,22,460,2,3,1,1,2,2
1,0.3,39,510,1,1,1,1,0,1
1,0.3,18,750,1,1,1,1,1,1
2,3.2,15,1830,3,2,2,3,0,1
1,0.9,21,500,1,3,1,2,0,2
3,2.15,57,1360,1,1,3,3,1,1
2,1.85,7,1000,4,1,2,2,1,1
2,2.15,58,660,1,1,2,1,0,1
4,8.75,14,3100,1,1,3,3,1,1
3,2.57,29,1250,3,2,3,3,0,1
1,0.28,18,620,1,2,1,1,2,1
2,3.47,27,752,3,2,2,2,0,1
1,1.25,28,450,4,3,1,1,0,1
3,3.7,26,1300,4,2,3,3,0,1
2,4.0,28,1250,1,3,2,2,3,1
2,2.1,8,650,1,1,2,1,0,1
1,0.92,51,525,4,2,1,1,0,2
3,2.6,59,1100,4,2,3,2,0,1
2,1.5,31,920,2,1,2,3,0,2
4,12.0,23,3000,3,1,4,4,1,1
2,5.0,60,1100,2,1,2,2,0,1
2,1.4,14,750,1,1,2,2,0,1
2,2.4,6,1200,1,1,2,2,0,1
2,1.85,48,900,1,1,2,2,0,1
2,2.35,28,1050,1,2,2,2,1,1
2,3.25,28,1100,4,2,2,2,0,1
1,0.53,20,450,1,1,1,1,0,1
3,2.6,14,1000,1,1,3,1,0,1
1,0.29,18,650,1,2,1,1,1,1
1,0.54,9,410,4,2,1,2,0,2
3,3.3,22,1670,1,3,3,3,0,1
2,1.6,21,1004,3,2,2,2,0,1
3,2.5,20,1020,4,2,3,2,0,1
3,3.0,29,1200,2,1,3,3,1,1
1,0.95,15,625,1,1,1,2,0,1
3,3.0,6,1100,1,2,3,3,0,1
2,1.68,31,710,4,1,2,2,0,1
1,1.1,14,700,1,2,1,2,0,1
2,1.05,1,1050,1,2,2,2,3,2
1,0.24,24,500,1,2,1,1,2,1
1,0.52,6,544,4,3,1,1,0,2
2,1.15,51,800,4,2,2,2,0,1
1,0.6,1,700,1,2,1,2,3,2
